Gene ID	Common Name	Annotation	logFC: YPS606 (WT) EtOH response	Pvalue: YPS606 (WT) EtOH response	FDR: YPS606 (WT) EtOH response	logFC: YPS606 msn2/4ÆÆ EtOH response	Pvalue: YPS606 msn2/4ÆÆ  EtOH response	FDR: YPS606 msn2/4ÆÆ  EtOH response	logFC: WT v msn2/4ÆÆ: EtOH response	Pvalue: WT v msn2/4ÆÆ: EtOH response	FDR: WT v msn2/4ÆÆ: EtOH response	logFC: WT v msn2/4ÆÆ: unstressed	Pvalue: WT v msn2/4ÆÆ: unstressed	FDR: WT v msn2/4ÆÆ:unstressed	logFC: WT v msn2/4ÆÆ: EtOH absolute	Pvalue: WT v msn2/4ÆÆ: EtOH absolute	FDR: WT v msn2/4ÆÆ: EtOH absolute			
YBR214W	SDS24	Protein involved in cell separation during budding	6.68272086	5.21E-33	3.09E-31	4.414900584	9.57E-27	2.80E-25	-2.267820276	2.49E-11	1.40E-09	0.179498605	0.39161587	0.998531082	-2.088321671	2.26E-17	1.10E-15			
YOR173W	DCS2	m(7)GpppX pyrophosphatase regulator	4.517191829	8.52E-25	1.01E-23	1.537065472	4.18E-08	1.10E-07	-2.980126357	2.48E-11	1.40E-09	0.169689076	0.551089196	0.998531082	-2.810437281	8.90E-20	5.89E-18			
YDR277C	MTH1	Negative regulator of the glucose-sensing signal transduction pathway	1.596744979	7.38E-11	2.07E-10	-0.992945092	6.69E-05	0.000126747	-2.589690071	2.59E-11	1.45E-09	-0.33135266	0.11909736	0.998531082	-2.921042731	3.38E-18	1.83E-16			
YDR216W	ADR1	Carbon source-responsive zinc-finger transcription factor	3.359884617	8.84E-24	9.07E-23	1.266654088	1.19E-09	3.63E-09	-2.093230529	2.68E-11	1.48E-09	0.512393841	0.009480793	0.642016976	-1.580836688	3.89E-14	1.22E-12			
YJL107C	YJL107C	Putative protein of unknown function	-0.458591051	0.002601921	0.003804079	-2.430600053	2.29E-18	1.88E-17	-1.972009002	2.78E-11	1.52E-09	0.085606909	0.542595477	0.998531082	-1.886402093	4.48E-14	1.37E-12			
YNL134C	YNL134C	NADH-dependent aldehyde reductase	3.8729566	5.05E-31	1.83E-29	2.372510874	6.19E-23	9.53E-22	-1.500445726	2.80E-11	1.52E-09	-0.119055744	0.35466651	0.998531082	-1.61950147	5.76E-18	3.04E-16			
YJL050W	MTR4	RNA duplex-sensing translocase	-4.593194737	4.73E-36	7.78E-34	-3.309320453	9.99E-32	9.43E-30	1.283874284	3.79E-11	2.04E-09	0.02834766	0.766407522	0.998531082	1.312221944	4.81E-15	1.74E-13			
YPR184W	GDB1	Glycogen debranching enzyme	4.087609004	3.62E-28	6.95E-27	2.243986445	1.52E-18	1.28E-17	-1.843622559	3.83E-11	2.04E-09	-0.097650178	0.544258808	0.998531082	-1.941272736	1.49E-17	7.60E-16			
YMR241W	YHM2	Citrate and oxoglutarate carrier protein	-1.716026009	1.72E-20	1.18E-19	-0.46978405	2.89E-05	5.70E-05	1.246241959	4.07E-11	2.15E-09	-0.137405055	0.178262239	0.998531082	1.108836904	5.70E-14	1.73E-12			
YDL204W	RTN2	Reticulon protein	4.649790184	2.45E-24	2.72E-23	1.193220874	0.000136321	0.000249973	-3.456569309	4.21E-11	2.20E-09	-0.456989079	0.160222686	0.998531082	-3.913558388	4.91E-23	4.71E-21			
YIL131C	FKH1	Forkhead family transcription factor	-2.20076041	1.23E-27	2.16E-26	-1.160640831	7.98E-18	6.11E-17	1.040119579	4.24E-11	2.20E-09	-0.120221165	0.142758606	0.998531082	0.919898414	2.08E-13	5.77E-12			
YNR014W	YNR014W	Putative protein of unknown function	5.072668459	2.96E-18	1.55E-17	-0.661648335	0.208440798	0.24840186	-5.734316793	5.55E-11	2.85E-09	0.096942451	0.848285317	0.998531082	-5.637374342	1.37E-19	8.85E-18			
YJL016W	TPH3	Putative protein of unknown function	2.112269953	9.51E-27	1.45E-25	1.054130424	1.84E-15	1.06E-14	-1.058139529	5.74E-11	2.92E-09	-0.015201717	0.866069797	0.998531082	-1.073341246	3.00E-16	1.25E-14			
YAL005C	SSA1	ATPase involved in protein folding and NLS-directed nuclear transport	5.199852204	6.22E-29	1.44E-27	3.212061811	4.13E-22	5.61E-21	-1.987790393	6.43E-11	3.25E-09	0.705093406	9.35E-05	0.028330473	-1.282696988	8.06E-10	1.19E-08			
YDL019C	OSH2	Member of an oxysterol-binding protein family with seven members	1.419156789	5.31E-19	3.03E-18	0.294886516	0.002826365	0.004408823	-1.124270273	6.86E-11	3.43E-09	0.008282328	0.929953193	0.998531082	-1.115987945	1.83E-15	6.89E-14			
YLL023C	POM33	Transmembrane nucleoporin	1.641131274	4.52E-13	1.51E-12	-0.306448294	0.065564187	0.085208277	-1.947579569	7.23E-11	3.59E-09	-0.154135216	0.346291986	0.998531082	-2.101714785	2.04E-16	8.75E-15			
YDR345C	HXT3	Low affinity glucose transporter of the major facilitator superfamily	-3.511499966	2.67E-20	1.80E-19	-5.947466605	3.05E-27	9.66E-26	-2.43596664	7.34E-11	3.61E-09	-0.055490669	0.776192906	0.998531082	-2.491457309	4.93E-15	1.77E-13			
YNL160W	YGP1	Cell wall-related secretory glycoprotein	4.599406268	1.60E-24	1.82E-23	1.954060012	6.40E-11	2.23E-10	-2.645346256	9.31E-11	4.54E-09	-0.810196431	0.001759086	0.240593709	-3.455542688	4.76E-21	3.64E-19			
YPR091C	NVJ2	"Lipid-binding ER protein, enriched at nucleus-vacuolar junctions (NVJ)"	1.013641041	1.49E-15	6.05E-15	0.019790802	0.814883611	0.838782201	-0.993850239	1.14E-10	5.53E-09	0.069243979	0.41736928	0.998531082	-0.92460626	2.49E-14	8.13E-13			
YPL087W	YDC1	"Alkaline dihydroceramidase, involved in sphingolipid metabolism"	3.041435984	7.86E-26	1.06E-24	1.51868331	5.69E-15	3.06E-14	-1.522752675	1.24E-10	5.95E-09	-0.095188534	0.479563881	0.998531082	-1.617941209	1.59E-16	6.94E-15			
YBR052C	RFS1	Protein of unknown function	2.651517508	5.21E-27	8.44E-26	1.395397731	1.55E-16	1.02E-15	-1.256119778	1.38E-10	6.57E-09	-0.083072394	0.458225661	0.998531082	-1.339192172	1.17E-16	5.17E-15			
YHR092C	HXT4	High-affinity glucose transporter	2.035255919	1.71E-09	4.31E-09	-1.648576487	3.49E-05	6.80E-05	-3.683832406	1.64E-10	7.76E-09	-1.07664215	0.000848601	0.143663127	-4.760474556	1.60E-18	9.12E-17			
YIL125W	KGD1	Subunit of the mitochondrial alpha-ketoglutarate dehydrogenase complex	1.293106864	5.83E-20	3.73E-19	0.36234501	4.59E-05	8.87E-05	-0.930761854	1.91E-10	8.94E-09	-0.092899974	0.253687957	0.998531082	-1.023661828	2.11E-16	9.01E-15			
YJL164C	TPK1	cAMP-dependent protein kinase catalytic subunit	4.57389893	5.05E-35	5.38E-33	3.142588699	3.90E-28	1.43E-26	-1.431310231	2.00E-10	9.29E-09	-0.064795756	0.653223844	0.998531082	-1.496105987	5.90E-19	3.57E-17			
YER088C	DOT6	Protein involved in rRNA and ribosome biogenesis	0.541584951	1.67E-05	2.99E-05	-0.766661571	2.92E-08	7.78E-08	-1.308246523	2.18E-10	1.01E-08	0.061303788	0.58993605	0.998531082	-1.246942734	3.59E-14	1.13E-12			
YPL003W	ULA1	Protein that activates Rub1p (NEDD8) before neddylation	2.874556485	7.30E-27	1.15E-25	1.495744667	6.05E-16	3.70E-15	-1.378811818	2.23E-10	1.02E-08	-0.058212842	0.653552908	0.998531082	-1.43702466	8.22E-17	3.73E-15			
YBR104W	YMC2	Putative mitochondrial inner membrane transporter	-2.828824963	2.66E-28	5.33E-27	-1.641458351	2.57E-20	2.77E-19	1.187366611	2.72E-10	1.23E-08	-0.101175186	0.295614333	0.998531082	1.086191426	1.17E-12	2.89E-11			
YDR533C	HSP31	Methylglyoxalase that converts methylglyoxal to D-lactate	2.37058606	3.72E-18	1.92E-17	0.391578185	0.033567499	0.045419494	-1.979007875	2.96E-10	1.33E-08	-0.077096052	0.681769153	0.998531082	-2.056103927	1.16E-16	5.17E-15			
YDL039C	PRM7	Pheromone-regulated protein	-3.418014606	2.18E-21	1.67E-20	-1.337079922	4.33E-09	1.26E-08	2.080934685	4.43E-10	1.95E-08	-1.479857453	1.36E-10	2.61E-07	0.601077232	0.003142775	0.009720481			
YER033C	ZRG8	Protein of unknown function	2.501923657	5.55E-29	1.30E-27	1.461030658	1.08E-19	1.05E-18	-1.040892998	4.41E-10	1.95E-08	0.112930534	0.264387476	0.998531082	-0.927962465	3.16E-14	1.02E-12			
YGR108W	CLB1	B-type cyclin involved in cell cycle progression	-2.206734604	6.31E-22	5.17E-21	-0.89320231	3.84E-10	1.24E-09	1.313532294	4.38E-10	1.95E-08	0.142635578	0.200982914	0.998531082	1.456167872	2.71E-15	9.93E-14			
YHR008C	SOD2	Mitochondrial manganese superoxide dismutase	1.148180693	1.74E-14	6.56E-14	0.00070239	0.994531806	0.995569579	-1.147478303	4.48E-10	1.95E-08	-0.121843437	0.238857625	0.998531082	-1.26932174	6.18E-16	2.40E-14			
YIL036W	CST6	Basic leucine zipper (bZIP) transcription factor from ATF/CREB family	1.298903065	2.05E-22	1.76E-21	0.511860719	4.57E-09	1.33E-08	-0.787042346	4.67E-10	2.02E-08	-0.007826416	0.913599953	0.998531082	-0.794868762	5.12E-15	1.82E-13			
YDR101C	ARX1	Nuclear export factor for the ribosomal pre-60S subunit	-4.368942322	3.24E-39	2.07E-36	-3.434729945	8.98E-36	5.74E-33	0.934212377	4.73E-10	2.03E-08	-0.103924714	0.196799287	0.998531082	0.830287663	2.59E-12	6.04E-11			
YAL036C	RBG1	Member of the DRG family of GTP-binding proteins	-3.272001098	4.90E-38	2.17E-35	-2.498137906	6.06E-34	1.45E-31	0.773863192	5.76E-10	2.46E-08	-0.054174888	0.415993316	0.998531082	0.719688304	8.77E-13	2.24E-11			
YDL022W	GPD1	NAD-dependent glycerol-3-phosphate dehydrogenase	4.405129776	1.36E-28	2.94E-27	2.760516139	1.33E-21	1.67E-20	-1.644613638	6.47E-10	2.74E-08	-0.246580281	0.105933113	0.998531082	-1.891193919	3.09E-16	1.28E-14			
YNL284C-B	YNL284C-B	Retrotransposon TYA Gag and TYB Pol genes	2.41041596	2.64E-18	1.39E-17	4.232886879	2.35E-27	7.60E-26	1.822470919	6.54E-10	2.75E-08	0.149202131	0.409865099	0.998531082	1.97167305	7.99E-17	3.65E-15			
YLR328W	NMA1	Nicotinic acid mononucleotide adenylyltransferase	-1.862395567	3.91E-26	5.53E-25	-0.992114483	2.41E-16	1.55E-15	0.870281084	7.31E-10	3.03E-08	-0.107500671	0.167547021	0.998531082	0.762780413	3.84E-12	8.67E-11			
YMR181C	YMR181C	Protein of unknown function	1.983251956	1.86E-18	9.98E-18	0.415714391	0.0071378	0.010586234	-1.567537565	7.31E-10	3.03E-08	-0.416623534	0.008008219	0.594823173	-1.984161099	9.68E-19	5.81E-17			
YML120C	NDI1	NADH:ubiquinone oxidoreductase	1.750321979	2.44E-21	1.86E-20	0.657837806	4.22E-08	1.11E-07	-1.092484172	7.78E-10	3.20E-08	0.016155778	0.872979203	0.998531082	-1.076328394	3.50E-14	1.11E-12			
YKR058W	GLG1	Glycogenin glucosyltransferase	2.705688691	1.03E-25	1.37E-24	1.331454578	1.19E-13	5.44E-13	-1.374234113	8.07E-10	3.29E-08	-0.066993324	0.632840394	0.998531082	-1.441227437	4.86E-17	2.31E-15			
YBR053C	YBR053C	Putative protein of unknown function	3.119013239	2.90E-30	8.88E-29	1.94302152	1.06E-21	1.35E-20	-1.175991718	8.31E-10	3.37E-08	-0.312088595	0.009948587	0.64341645	-1.488080313	3.94E-19	2.41E-17			
YBR203W	COS111	Protein required for antifungal drug ciclopirox olamine resistance	-0.699753735	2.67E-05	4.72E-05	-2.434511348	1.76E-18	1.47E-17	-1.734757614	8.72E-10	3.49E-08	-0.137918665	0.352762834	0.998531082	-1.872676278	2.19E-14	7.33E-13			
YJR147W	HMS2	Protein with similarity to heat shock transcription factors	-4.371138018	1.10E-27	1.96E-26	-2.578562247	2.28E-21	2.76E-20	1.792575772	8.68E-10	3.49E-08	-0.102939511	0.443427049	0.998531082	1.689636261	1.41E-11	2.86E-10			
YCL035C	GRX1	Glutathione-dependent disulfide oxidoreductase	3.11274022	9.92E-25	1.16E-23	1.547024139	8.26E-14	3.86E-13	-1.565716081	8.90E-10	3.53E-08	-0.045322255	0.76630824	0.998531082	-1.611038336	2.01E-15	7.51E-14			
YBR151W	APD1	2Fe-2S cytosolic protein of unknown function	0.82393401	7.17E-13	2.34E-12	-0.081760426	0.33176776	0.376806477	-0.905694435	9.89E-10	3.90E-08	-0.148588785	0.08189857	0.998531082	-1.05428322	2.26E-16	9.55E-15			
YEL046C	GLY1	Threonine aldolase	-3.02070357	1.65E-24	1.87E-23	-1.554528547	8.90E-15	4.68E-14	1.466175023	1.09E-09	4.27E-08	-0.064001877	0.631639658	0.998531082	1.402173146	3.75E-13	1.01E-11			
YMR049C	ERB1	Constituent of 66S pre-ribosomal particles	-4.20193419	1.74E-35	2.38E-33	-3.130909716	2.55E-31	2.10E-29	1.071024474	1.12E-09	4.33E-08	-0.042124855	0.653065759	0.998531082	1.028899619	8.54E-13	2.20E-11			
YNL098C	RAS2	GTP-binding protein	1.929595753	2.34E-19	1.40E-18	0.597142467	1.55E-05	3.13E-05	-1.332453286	1.12E-09	4.33E-08	-0.189668695	0.131625344	0.998531082	-1.522121981	6.46E-16	2.50E-14			
YDL146W	LDB17	Protein involved in the regulation of endocytosis	3.589562568	1.37E-28	2.96E-27	2.188089384	1.82E-20	1.99E-19	-1.401473183	1.15E-09	4.42E-08	-0.118826128	0.387786654	0.998531082	-1.520299311	6.06E-16	2.37E-14			
YOL155C	HPF1	Haze-protective mannoprotein	-1.100501155	9.46E-08	2.06E-07	-2.972539924	3.97E-20	4.18E-19	-1.87203877	1.16E-09	4.43E-08	-0.164548746	0.340132524	0.998531082	-2.036587516	8.46E-15	2.93E-13			
YNL115C	YNL115C	Putative protein of unknown function	1.915757505	2.02E-25	2.59E-24	0.986369064	9.68E-15	5.07E-14	-0.92938844	1.33E-09	5.04E-08	0.148486045	0.106841233	0.998531082	-0.780902395	2.72E-12	6.29E-11			
YGL006W	PMC1	Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions	1.253529098	1.19E-20	8.37E-20	0.446432526	4.25E-07	1.01E-06	-0.807096572	1.39E-09	5.22E-08	-0.17564294	0.025260556	0.956577385	-0.982739512	5.91E-17	2.77E-15			
YER062C	GPP2	DL-glycerol-3-phosphate phosphatase involved in glycerol biosynthesis	5.515927965	2.28E-35	2.86E-33	4.061785664	3.48E-30	2.06E-28	-1.454142302	1.45E-09	5.44E-08	-0.266670449	0.085676803	0.998531082	-1.72081275	1.47E-18	8.49E-17			
YOL058W	ARG1	Argininosuccinate synthetase	-0.980998471	2.85E-08	6.47E-08	0.541111373	0.000325154	0.000569738	1.522109844	1.71E-09	6.36E-08	-0.360348258	0.014440903	0.784151851	1.161761586	2.72E-10	4.38E-09			
YKL091C	YKL091C	Putative phosphatidylinositol/phosphatidylcholine transfer protein	3.947434616	1.01E-29	2.78E-28	2.454835367	2.03E-21	2.49E-20	-1.492599249	1.84E-09	6.78E-08	-0.016504257	0.917331996	0.998531082	-1.509103505	3.35E-16	1.36E-14			
YBR001C	NTH2	"Putative neutral trehalase, required for thermotolerance"	2.768793556	4.39E-30	1.28E-28	1.754689521	3.97E-22	5.40E-21	-1.014104035	2.08E-09	7.63E-08	0.095299546	0.363146215	0.998531082	-0.918804489	1.13E-13	3.27E-12			
YDR134C	CCW22	Cell wall protein	-0.019302936	0.899953501	0.912316371	-1.650031861	1.41E-13	6.38E-13	-1.630728925	2.18E-09	7.94E-08	0.053005354	0.730076941	0.998531082	-1.577723571	5.50E-13	1.45E-11			
YJR091C	JSN1	Member of the Puf family of RNA-binding proteins	2.003573578	1.06E-25	1.40E-24	1.081907855	7.38E-16	4.46E-15	-0.921665723	2.27E-09	8.20E-08	0.105237459	0.240478837	0.998531082	-0.816428264	3.22E-12	7.36E-11			
YMR297W	PRC1	"Vacuolar carboxypeptidase Y (proteinase C, CPY)"	1.608841274	1.05E-14	4.03E-14	0.139397237	0.319990866	0.365160076	-1.469444037	2.31E-09	8.33E-08	-0.067569043	0.628686156	0.998531082	-1.537013081	4.30E-14	1.32E-12			
YDR185C	UPS3	Mitochondrial protein of unknown function	2.191990508	6.46E-13	2.13E-12	-0.24185682	0.322760389	0.368028685	-2.433847328	2.58E-09	9.23E-08	0.067764097	0.783403399	0.998531082	-2.366083231	3.96E-14	1.23E-12			
YDR214W	AHA1	Co-chaperone that binds Hsp82p and activates its ATPase activity	1.982866253	3.44E-24	3.73E-23	1.002871718	8.75E-14	4.07E-13	-0.979994534	2.92E-09	1.04E-07	0.519021279	1.88E-06	0.001362417	-0.460973255	1.05E-05	6.67E-05			
YGR194C	XKS1	Xylulokinase	3.808642125	6.67E-35	6.76E-33	2.724884356	2.77E-28	1.06E-26	-1.083757769	2.97E-09	1.05E-07	-0.358846722	0.003731243	0.40205142	-1.442604491	2.21E-20	1.53E-18			
YLR149C	GID11	Substrate receptor of the glucose-induced degradation-deficient (GID)	5.731616051	9.41E-33	5.11E-31	3.570145236	8.00E-23	1.22E-21	-2.161470815	3.01E-09	1.06E-07	-0.371767554	0.146135632	0.998531082	-2.533238369	7.18E-23	6.67E-21			
YMR104C	YPK2	AGC-type S/T protein kinase	1.021023369	1.20E-11	3.60E-11	-0.162568153	0.162253956	0.197074017	-1.183591522	3.14E-09	1.10E-07	0.172926215	0.143933111	0.998531082	-1.010665307	1.01E-11	2.12E-10			
YOL081W	IRA2	GTPase-activating protein	0.796768518	6.29E-10	1.63E-09	-0.258359812	0.014418772	0.020492457	-1.055128329	3.31E-09	1.15E-07	-0.11516707	0.261977602	0.998531082	-1.1702954	7.95E-15	2.78E-13			
YKL142W	MRP8	Protein of unknown function	2.786628645	1.42E-28	3.04E-27	1.719128753	1.89E-20	2.06E-19	-1.067499892	3.34E-09	1.15E-07	-0.017903046	0.868725995	0.998531082	-1.085402938	2.22E-14	7.39E-13			
YIL136W	OM45	Mitochondrial outer membrane protein of unknown function	2.096744158	7.90E-13	2.58E-12	-0.288986783	0.241430925	0.282799431	-2.385730941	3.41E-09	1.17E-07	0.037351263	0.879838888	0.998531082	-2.348379679	1.59E-14	5.41E-13			
YBR006W	UGA2	Succinate semialdehyde dehydrogenase	3.775429594	1.20E-29	3.21E-28	2.393361411	1.03E-21	1.31E-20	-1.382068182	3.44E-09	1.17E-07	-0.074054438	0.618629996	0.998531082	-1.45612262	5.12E-16	2.02E-14			
YDR275W	BSC2	Protein of unknown function involved in multidrug resistance	1.169103129	1.35E-06	2.66E-06	-1.091576008	1.69E-05	3.41E-05	-2.260679137	3.59E-09	1.22E-07	0.302329859	0.174293578	0.998531082	-1.958349278	1.34E-11	2.74E-10			
YGR041W	BUD9	Protein involved in bud-site selection	-0.340792753	0.000409419	0.000642613	0.572998543	5.36E-08	1.39E-07	0.913791296	3.94E-09	1.32E-07	0.014281119	0.872776137	0.998531082	0.928072415	1.38E-13	3.91E-12			
YBR105C	VID24	GID Complex regulatory subunit	-0.318238614	0.014763378	0.019803776	-1.636512871	4.90E-16	3.01E-15	-1.318274258	4.45E-09	1.49E-07	0.171347834	0.173579084	0.998531082	-1.146926424	4.43E-11	8.15E-10			
YPL086C	ELP3	Subunit of Elongator complex	-2.585216738	9.91E-34	6.63E-32	-1.859038865	1.66E-28	6.69E-27	0.726177873	4.52E-09	1.50E-07	-0.066758284	0.329452936	0.998531082	0.659419589	1.64E-11	3.27E-10			
YGR158C	MTR3	Exosome non-catalytic core component	-2.975705083	4.74E-29	1.13E-27	-1.901088833	1.25E-22	1.85E-21	1.07461625	4.72E-09	1.56E-07	-0.124661486	0.195265927	0.998531082	0.949954764	1.20E-10	2.10E-09			
YCR011C	ADP1	Putative ATP-dependent permease of the ABC transporter family	1.575730311	3.76E-25	4.64E-24	0.844651177	3.45E-15	1.91E-14	-0.731079134	5.04E-09	1.66E-07	0.070499702	0.333929905	0.998531082	-0.660579432	5.21E-12	1.12E-10			
YMR045C	YMR045C	Retrotransposon TYA Gag and TYB Pol genes	2.311725873	6.17E-15	2.40E-14	4.345602726	1.79E-24	3.69E-23	2.033876853	5.17E-09	1.69E-07	-0.071520391	0.746245611	0.998531082	1.962356462	3.56E-14	1.13E-12			
YMR305C	SCW10	Cell wall protein with similarity to glucanases	-2.217507211	3.23E-21	2.42E-20	-0.956376217	9.55E-10	2.95E-09	1.261130994	5.33E-09	1.73E-07	-0.080403909	0.514675745	0.998531082	1.180727085	3.83E-12	8.67E-11			
YNL200C	NNR1	NADHX epimerase	4.58546333	2.66E-28	5.33E-27	2.469253522	6.38E-16	3.89E-15	-2.116209809	5.36E-09	1.73E-07	-0.374371995	0.136809671	0.998531082	-2.490581803	4.03E-21	3.13E-19			
YBR083W	TEC1	Transcription factor targeting filamentation genes and Ty1 expression	-0.431835518	0.008833894	0.01215875	1.100796252	9.80E-10	3.01E-09	1.53263177	5.45E-09	1.73E-07	0.256317821	0.099096594	0.998531082	1.788949591	1.42E-15	5.39E-14			
YDR129C	SAC6	"Fimbrin, actin-bundling protein"	1.250805172	2.39E-18	1.27E-17	0.377595429	6.53E-05	0.000123975	-0.873209743	5.41E-09	1.73E-07	-0.052313695	0.54491537	0.998531082	-0.925523438	5.73E-14	1.73E-12			
YJL069C	UTP18	Small-subunit processome protein involved in pre-18S rRNA maturation	-3.337925245	2.20E-36	4.13E-34	-2.548049225	2.17E-32	2.64E-30	0.789876019	5.45E-09	1.73E-07	-0.061154472	0.405082303	0.998531082	0.728721547	2.06E-11	4.04E-10			
YJL078C	PRY3	GPI-anchored cell wall protein involved in export of sterols	-0.966190863	4.24E-08	9.48E-08	-2.448951067	5.56E-20	5.74E-19	-1.482760204	6.14E-09	1.93E-07	-0.046655783	0.74855794	0.998531082	-1.529415988	2.86E-13	7.88E-12			
YPR028W	YOP1	Reticulon-interacting protein	1.051970184	6.05E-11	1.71E-10	-0.186997182	0.131560487	0.162432896	-1.238967366	6.13E-09	1.93E-07	-0.08436315	0.491752867	0.998531082	-1.323330516	7.26E-14	2.16E-12			
YLR216C	CPR6	Peptidyl-prolyl cis-trans isomerase (cyclophilin)	2.752494854	1.31E-32	6.85E-31	1.951279193	6.62E-27	1.99E-25	-0.801215661	6.37E-09	1.99E-07	0.357429956	5.05E-05	0.020763711	-0.443785704	1.07E-06	8.51E-06			
YHR097C	PAL2	Protein involved in clathrin-mediated endocytosis	2.486468738	6.25E-20	3.97E-19	0.881863849	1.88E-06	4.20E-06	-1.604604889	6.93E-09	2.16E-07	0.078047706	0.654830475	0.998531082	-1.526557183	8.68E-14	2.58E-12			
YPL015C	HST2	Cytoplasmic NAD(+)-dependent protein deacetylase	0.876664587	1.05E-07	2.28E-07	-0.531193367	0.000482909	0.000828255	-1.407857954	7.22E-09	2.24E-07	-0.217870194	0.126061588	0.998531082	-1.625728148	6.85E-15	2.42E-13			
YML070W	DAK1	Dihydroxyacetone kinase	2.478306114	1.50E-25	1.94E-24	1.400603914	1.48E-16	9.72E-16	-1.0777022	7.56E-09	2.33E-07	0.008931842	0.934749862	0.998531082	-1.068770358	5.24E-13	1.39E-11			
YOR374W	ALD4	Mitochondrial aldehyde dehydrogenase	3.834388811	2.37E-24	2.63E-23	2.125263907	1.14E-15	6.71E-15	-1.709124904	7.84E-09	2.40E-07	0.052118891	0.766993701	0.998531082	-1.657006013	8.55E-13	2.20E-11			
YGL191W	COX13	Subunit VIa of cytochrome c oxidase	0.518629732	9.46E-06	1.73E-05	-0.528838755	8.29E-06	1.72E-05	-1.047468486	7.92E-09	2.41E-07	-0.04715134	0.653413607	0.998531082	-1.094619826	1.63E-13	4.60E-12			
YPL256C	CLN2	G1 cyclin involved in regulation of the cell cycle	-2.263929117	1.51E-19	9.19E-19	-0.878822789	3.94E-08	1.04E-07	1.385106328	8.26E-09	2.50E-07	0.048842536	0.709795471	0.998531082	1.433948864	1.02E-12	2.57E-11			
YJL145W	SFH5	Unusual phosphatidylinositol transfer protein (PITP) that binds heme	-2.42023664	1.12E-28	2.49E-27	-1.546385834	8.28E-22	1.07E-20	0.873850807	9.22E-09	2.78E-07	-0.048372754	0.56390542	0.998531082	0.825478053	1.50E-11	3.02E-10			
YPL274W	SAM3	High-affinity S-adenosylmethionine permease	-2.828677555	3.19E-19	1.88E-18	-1.092300971	9.78E-08	2.48E-07	1.736376584	9.41E-09	2.82E-07	-0.051457443	0.762179544	0.998531082	1.684919141	5.04E-12	1.09E-10			
YGR260W	TNA1	High affinity nicotinic acid plasma membrane permease	-0.436599283	0.001313225	0.00197258	-1.706744838	1.04E-16	7.01E-16	-1.270145555	1.05E-08	3.14E-07	-0.113669688	0.375323126	0.998531082	-1.383815243	9.55E-14	2.82E-12			
YBL011W	SCT1	Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase	0.0945203	0.23101871	0.262225142	-0.679349481	4.87E-11	1.71E-10	-0.77386978	1.13E-08	3.35E-07	-0.058674976	0.456196417	0.998531082	-0.832544756	1.05E-13	3.06E-12			
YML004C	GLO1	Monomeric glyoxalase I	1.940172847	6.90E-23	6.36E-22	0.957249136	2.61E-12	1.03E-11	-0.982923712	1.15E-08	3.39E-07	-0.158333396	0.121333128	0.998531082	-1.141257108	7.28E-15	2.56E-13			
YPR010C	RPA135	RNA polymerase I second largest subunit A135	-3.87237193	5.55E-36	8.87E-34	-2.999520129	4.46E-32	4.58E-30	0.872851801	1.20E-08	3.51E-07	-0.029961288	0.732131764	0.998531082	0.842890512	4.77E-12	1.04E-10			
YJR045C	SSC1	Hsp70 family ATPase	0.542087095	1.25E-05	2.27E-05	-0.544599007	1.17E-05	2.39E-05	-1.086686103	1.24E-08	3.63E-07	0.064994748	0.557362292	0.998531082	-1.021691355	7.87E-12	1.67E-10			
YJR096W	YJR096W	Xylose and arabinose reductase	2.828991833	1.40E-24	1.60E-23	1.485621928	7.53E-14	3.53E-13	-1.343369905	1.28E-08	3.73E-07	-0.166634947	0.270897436	0.998531082	-1.510004852	7.06E-16	2.71E-14			
YPL154C	PEP4	Vacuolar aspartyl protease (proteinase A)	2.75771524	3.55E-25	4.38E-24	1.581285843	1.29E-16	8.55E-16	-1.176429397	1.36E-08	3.94E-07	-0.162239196	0.18354404	0.998531082	-1.338668593	2.47E-14	8.12E-13			
YAL040C	CLN3	G1 cyclin involved in cell cycle progression	0.908310478	7.75E-11	2.16E-10	-0.137565194	0.203336266	0.242872702	-1.045875672	1.39E-08	4.00E-07	-0.036627538	0.732749219	0.998531082	-1.08250321	4.83E-13	1.29E-11			
YCL040W	GLK1	Glucokinase	8.488471351	3.00E-35	3.45E-33	6.808323738	2.60E-32	2.94E-30	-1.680147613	1.69E-08	4.85E-07	-0.412192991	0.02894334	0.991653974	-2.092340604	3.76E-16	1.50E-14			
YOR027W	STI1	Evolutionarily-conserved Hsp90 cochaperone	1.640064176	2.85E-18	1.49E-17	0.556940452	9.61E-06	1.99E-05	-1.083123724	1.75E-08	4.99E-07	0.596549921	3.23E-06	0.002065425	-0.486573802	7.12E-05	0.000362212			
